Date,Name,Brand,Meal,Quantity,Unit,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Zinc (mg),Vitamin A (µg),Vitamin C (mg),Vitamin D (µg),B1 Thiamine (mg),B2 Riboflavin (mg),B3 Niacin (mg),B6 (mg),B9 Folate (µg),Notes
2026-05-30,Custard apple,IFCT 2017,Breakfast,100,g,98.9,1.62,20.38,0.67,5.1,3.11,278,28.2,0.42,38.47,40.81,0.22,0,21.51,0.18,0.13,0.09,0.69,0.07,7.6,IFCT2017:E016 | Group: Fruits
2026-05-30,"Dates, dry, pale brown",IFCT 2017,Breakfast,100,g,320.3,2.45,74.91,0.35,8.95,3.27,804,71.2,3.2,73.79,73.02,0.7,2700,4.42,2.6,0.03,0.03,1.47,0.14,18.65,IFCT2017:E017 | Group: Fruits
2026-05-30,"Dates, dry, dark brown",IFCT 2017,Breakfast,100,g,310.9,2.38,72.67,0.35,9.1,3.09,782,66.13,4.79,75.23,70.26,0.58,2705,3.84,0.68,0.02,0.03,1.09,0.153,12.8,IFCT2017:E018 | Group: Fruits
2026-05-30,"Dates, processed",IFCT 2017,Breakfast,100,g,286.1,1.18,67.95,0.41,6.52,1.6,289,15.73,0.89,14.34,33.88,0.42,2781,15.51,0.83,0.05,0.02,0.51,0.06,24.53,IFCT2017:E019 | Group: Fruits
2026-05-30,Fig,IFCT 2017,Breakfast,100,g,81.5,2.03,16.28,0.37,4.64,2.37,231,78.52,0.69,26.18,21.62,0.22,2.4,16.92,1.47,0.04,0.02,0.27,0.15,13.67,IFCT2017:E020 | Group: Fruits
2026-05-30,Goosberry,IFCT 2017,Breakfast,100,g,23.7,0.34,4.39,0.16,7.75,1.37,223,20.14,1.25,6.5,21.85,0.05,1.58,252,0.27,0.01,0.03,0.12,0.27,7.86,IFCT2017:E021 | Group: Fruits
2026-05-30,"Grapes, seeded, round, black",IFCT 2017,Breakfast,100,g,60.7,0.76,13.23,0.32,1.35,1.93,171,10.57,0.22,7.47,21.04,0.05,29.36,18.3,6.19,0.03,0.03,0.14,0.11,8.69,IFCT2017:E022 | Group: Fruits
2026-05-30,"Grapes, seeded, round, green",IFCT 2017,Breakfast,100,g,56.2,0.77,12.19,0.29,1.25,1.89,166,11.16,0.24,6.87,19.5,0.05,30.77,17.1,3.59,0.03,0.02,0.13,0.09,8.35,IFCT2017:E023 | Group: Fruits
2026-05-30,"Grapes, seeded, round, red",IFCT 2017,Breakfast,100,g,58.3,0.95,12.55,0.29,1.28,1.59,188,11.27,0.33,7.06,27.91,0.07,19.94,20.59,6.87,0.04,0.03,0.1,0.1,7.49,IFCT2017:E024 | Group: Fruits
2026-05-30,"Grapes, seedless, oval, black",IFCT 2017,Breakfast,100,g,94.4,1.41,20.48,0.46,1.64,1.83,237,15.26,0.28,11.29,29.02,0.1,19.73,27.32,6.42,0.03,0.02,0.15,0.11,7.22,IFCT2017:E025 | Group: Fruits
2026-05-30,"Grapes, seedless, round, green",IFCT 2017,Breakfast,100,g,53.5,0.62,11.81,0.26,1.28,1.81,168,14.22,0.24,8.43,20.27,0.05,25.46,16.47,3.54,0.04,0.03,0.12,0.08,8.31,IFCT2017:E026 | Group: Fruits
2026-05-30,"Grapes, seedless, round, black",IFCT 2017,Breakfast,100,g,89.4,1.24,19.86,0.35,1.15,1.92,235,18.75,0.39,10.8,26.68,0.09,20.58,22.79,6.23,0.03,0.03,0.13,0.08,8.89,IFCT2017:E027 | Group: Fruits
2026-05-30,"Guava, white flesh",IFCT 2017,Breakfast,100,g,32.3,1.44,5.13,0.32,8.59,2.87,283,18.52,0.32,15.26,23.54,0.23,298,214,1.68,0.05,0.04,0.6,0.11,29.76,IFCT2017:E028 | Group: Fruits
2026-05-30,"Guava, pink flesh",IFCT 2017,Breakfast,100,g,46.6,1.19,9.14,0.25,7.39,1.89,270,14.22,0.4,13.26,29.93,0.21,267,222,0.93,0.03,0.03,0.59,0.16,32.17,IFCT2017:E029 | Group: Fruits
2026-05-30,"Jack fruit, ripe",IFCT 2017,Breakfast,100,g,72.2,2.74,14.01,0.15,3.62,1.62,279,35.03,0.36,31.84,23.02,0.17,23.53,6.73,7.49,0.05,0.01,0.42,0.22,32.15,IFCT2017:E030 | Group: Fruits
2026-05-30,"Jambu fruit, ripe",IFCT 2017,Breakfast,100,g,56.2,0.82,12.3,0.17,3.07,2.64,103,25.36,0.33,27.97,9.6,0.06,1.55,16.47,0.82,0.02,0.02,0.14,0.03,7.63,IFCT2017:E031 | Group: Fruits
2026-05-30,Karonda fruit,IFCT 2017,Breakfast,100,g,33.7,1.15,2.87,1.67,7.25,2.55,351,10.81,0.87,24.45,32.62,0.25,15.64,135,1.43,0.01,0.02,0.25,0.08,8.72,IFCT2017:E032 | Group: Fruits
2026-05-30,"Lemon, juice",IFCT 2017,Breakfast,100,g,36.6,0.41,0,0.75,0,1.21,113,22.68,0.12,8.9,9.86,0.08,2.62,48.16,0.39,0.04,0.01,0.1,0.03,12.43,IFCT2017:E033 | Group: Fruits
2026-05-30,"Lime, sweet, pulp",IFCT 2017,Breakfast,100,g,27.2,0.76,5.18,0.2,2.07,1.17,182,25.79,0.11,15.4,20.55,0.05,2.54,46.96,0.3,0.06,0.01,0.17,0.05,15.38,IFCT2017:E034 | Group: Fruits
2026-05-30,Litchi,IFCT 2017,Breakfast,100,g,53.8,0.99,11.41,0.26,1.34,0.54,161,5.77,0.79,14.58,23.32,0.24,1.47,33.82,0.33,0.02,0.06,0.23,0.07,15.69,IFCT2017:E035 | Group: Fruits
2026-05-30,"Mango, ripe, banganapalli",IFCT 2017,Breakfast,100,g,41.8,0.54,8.18,0.55,1.88,1.34,144,15.77,0.51,13.35,11.07,0.12,1170.72,32.97,3.71,0.03,0.04,0.26,0.12,82.05,IFCT2017:E036 | Group: Fruits
2026-05-30,"Mango, ripe, gulabkhas",IFCT 2017,Breakfast,100,g,50.0,0.52,10.32,0.53,1.67,1.39,115,19.33,0.38,11.53,10.66,0.06,670.58,27.65,3.91,0.03,0.04,0.23,0.13,84.35,IFCT2017:E037 | Group: Fruits
2026-05-30,"Mango, ripe, himsagar",IFCT 2017,Breakfast,100,g,44.7,0.46,9.03,0.54,1.55,1.31,137,15.54,0.29,12.07,12.25,0.12,1186.6,49.09,3.73,0.03,0.03,0.27,0.1,90.98,IFCT2017:E038 | Group: Fruits
2026-05-30,"Mango, ripe, kesar",IFCT 2017,Breakfast,100,g,55.2,0.54,11.36,0.57,2.02,1.43,143,15.74,0.43,12.53,12.36,0.1,1270.96,29.08,3.68,0.03,0.04,0.26,0.1,90.43,IFCT2017:E039 | Group: Fruits
2026-05-30,"Mango, ripe, neelam",IFCT 2017,Breakfast,100,g,42.5,0.68,8.21,0.55,1.77,1.2,137,11.36,0.36,10.1,11.63,0.07,1293.51,29.93,3.72,0.03,0.04,0.23,0.12,68.7,IFCT2017:E040 | Group: Fruits
2026-05-30,"Mango, ripe, paheri",IFCT 2017,Breakfast,100,g,44.9,0.68,8.67,0.58,1.97,1.63,153,15.11,0.51,14.28,15.18,0.2,1063.49,30.75,3.62,0.03,0.04,0.28,0.23,65.28,IFCT2017:E041 | Group: Fruits
2026-05-30,"Mango, ripe, totapari",IFCT 2017,Breakfast,100,g,59.3,0.41,12.75,0.49,1.73,1.32,160,13.34,0.28,12.55,9.87,0.08,606.56,25.26,3.77,0.02,0.05,0.27,0.12,77.69,IFCT2017:E042 | Group: Fruits
2026-05-30,Mangosteen,IFCT 2017,Breakfast,100,g,52.3,0.63,11.41,0.24,1.87,3.79,46.93,4.69,0.28,12,7.18,0.21,1.8,26.33,0,0.01,0.01,0.58,0.18,13.52,IFCT2017:E043 | Group: Fruits
2026-05-30,Manila tamarind,IFCT 2017,Breakfast,100,g,81.7,3.56,13.54,1.14,4.4,1.35,376,8.51,0.71,32.98,73.53,0.56,2.2,55.78,0,0.18,0.14,0.4,0.04,4.24,IFCT2017:E044 | Group: Fruits
2026-05-30,"Musk melon, orange flesh",IFCT 2017,Breakfast,100,g,23.2,0.42,4.24,0.35,1.51,14.94,206,9.8,0.18,11.62,17.28,0.09,771,22.76,4.41,0.01,0.01,0.41,0.05,22.31,IFCT2017:E045 | Group: Fruits
2026-05-30,"Musk melon, yellow flesh",IFCT 2017,Breakfast,100,g,27.7,0.53,5.4,0.26,1.49,15.78,196,9.02,0.21,9.81,13.09,0.09,6.87,21.32,2.33,0.01,0.02,0.43,0.06,20.23,IFCT2017:E046 | Group: Fruits
2026-05-30,"Orange, pulp",IFCT 2017,Breakfast,100,g,37.3,0.7,7.92,0.13,1.29,1.47,164,19.52,0.81,11.05,12.9,0.04,81.72,42.72,0.34,0.07,0.02,0.28,0.04,19.46,IFCT2017:E047 | Group: Fruits
2026-05-30,"Palm fruit, tender",IFCT 2017,Breakfast,100,g,24.1,0.5,4.92,0.12,2.4,1.25,158,0,0,0,0,0.05,0,0.25,0,0.01,0.46,0,0.07,24.4,IFCT2017:E048 | Group: Fruits
2026-05-30,"Papaya, ripe",IFCT 2017,Breakfast,100,g,23.9,0.42,4.61,0.16,2.83,6.68,173,15.02,0.23,10.97,17.73,0.08,1342,43.09,11.47,0.03,0.11,0.33,0.04,60.9,IFCT2017:E049 | Group: Fruits
2026-05-30,Peach,IFCT 2017,Breakfast,100,g,40.2,0.86,7.82,0.37,2.13,1.15,281,6.98,0.35,8.06,19.08,0.1,0,5.49,2.41,0.02,0.02,0.29,0.1,6.34,IFCT2017:E050 | Group: Fruits
2026-05-30,Pear,IFCT 2017,Breakfast,100,g,37.5,0.36,8.09,0.27,4.48,1.64,106,6.55,0.28,7.61,6.74,0.07,14.6,3.31,1.48,0.02,0.02,0.13,0.09,5.28,IFCT2017:E051 | Group: Fruits
2026-05-30,Phalsa,IFCT 2017,Breakfast,100,g,71.5,1.66,15.09,0.14,4.54,1.99,362,153,2.01,76.92,23.65,0.48,7.39,5.11,1.34,0.03,0.06,0.4,0.03,22.56,IFCT2017:E052 | Group: Fruits
2026-05-30,Pineapple,IFCT 2017,Breakfast,100,g,43.0,0.52,9.42,0.16,3.46,1.43,143,10.88,0.28,12.68,13.56,0.1,31.21,36.37,0.21,0.05,0.03,0.12,0.13,18.21,IFCT2017:E053 | Group: Fruits
2026-05-30,Plum,IFCT 2017,Breakfast,100,g,56.9,0.64,12.1,0.4,2.07,1.55,162,7.61,0.25,7.79,13.83,0.1,1.32,2.26,3.32,0.02,0.02,0.44,0.05,14.29,IFCT2017:E054 | Group: Fruits
2026-05-30,"Pomegranate, maroon seeds",IFCT 2017,Breakfast,100,g,54.7,1.33,11.58,0.15,2.83,2.13,206,10.65,0.31,11.07,27.2,0.18,2.05,12.69,109,0.06,0.01,0.2,0.29,38.64,IFCT2017:E055 | Group: Fruits
2026-05-30,Pummelo,IFCT 2017,Breakfast,100,g,50.2,0.68,10.64,0.42,0.8,1.06,189,14.03,0.06,6.83,13.99,0.06,11.98,48.89,0.98,0.06,0.02,0.23,0.04,13.44,IFCT2017:E056 | Group: Fruits
2026-05-30,"Raisins, dried, black",IFCT 2017,Breakfast,100,g,305.7,2.57,71.29,0.34,3.92,10.99,1105,73.24,6.81,33.76,77.62,0.22,3.71,2.05,1.76,0.09,0.04,0.48,0.17,38.3,IFCT2017:E057 | Group: Fruits
2026-05-30,"Raisins, dried, golden",IFCT 2017,Breakfast,100,g,296.6,2.76,68.79,0.35,4.56,10.16,913,51.83,4.26,28.32,93.3,0.25,2.53,1.85,11.87,0.09,0.04,0.64,0.17,34.68,IFCT2017:E058 | Group: Fruits
2026-05-30,Rambutan,IFCT 2017,Breakfast,100,g,73.1,0.68,16.84,0.16,1.02,1.75,131,8.67,0.37,21.38,6.98,0.53,2.9,65,2.4,0.11,0.01,0.26,0.04,7.35,IFCT2017:E059 | Group: Fruits
2026-05-30,Sapota,IFCT 2017,Breakfast,100,g,73.4,0.92,13.9,1.26,9.6,4.61,280,17.87,0.49,16.19,22.26,0.18,80.7,20.96,0.65,0.01,0.03,0.24,0.12,10.83,IFCT2017:E060 | Group: Fruits
2026-05-30,Soursop,IFCT 2017,Breakfast,100,g,62.1,0.74,11.94,0.94,4.95,6.78,264,10.05,0.29,17.7,25.83,0.12,2.2,59.54,3.24,0.03,0.04,0.85,0.03,6.09,IFCT2017:E061 | Group: Fruits
